Team,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG_,OBP,SLG,OPS
Detroit Tigers,5605,689,1515,289,49,151,660,455,1259,83,51,0.27,0.328,0.42,0.748
Toronto Blue Jays,5509,891,1480,308,17,232,852,570,1151,88,23,0.269,0.34,0.457,0.797
Kansas City Royals,5575,724,1497,300,42,139,689,383,973,104,34,0.269,0.322,0.412,0.734
San Francisco Giants,5565,696,1486,288,39,136,663,457,1159,93,36,0.267,0.326,0.406,0.732
Colorado Rockies,5572,737,1479,274,49,186,702,388,1283,97,43,0.265,0.315,0.432,0.748
Boston Red Sox,5640,748,1495,294,33,161,706,478,1148,71,27,0.265,0.325,0.415,0.74
Arizona Diamondbacks,5649,720,1494,289,48,154,680,490,1312,132,44,0.264,0.324,0.414,0.738
Miami Marlins,5463,613,1420,236,40,120,575,375,1150,112,45,0.26,0.31,0.384,0.694
Pittsburgh Pirates,5631,697,1462,292,27,140,661,461,1322,98,45,0.26,0.323,0.396,0.719
Texas Rangers,5511,751,1419,279,32,172,707,503,1233,101,39,0.257,0.325,0.413,0.739
Cleveland Indians,5439,669,1395,303,29,141,640,533,1157,86,28,0.256,0.325,0.401,0.725
St. Louis Cardinals,5484,647,1386,288,39,137,619,506,1267,69,38,0.253,0.321,0.394,0.716
Tampa Bay Rays,5485,644,1383,278,32,167,612,436,1310,87,45,0.252,0.314,0.406,0.72
Milwaukee Brewers,5480,655,1378,274,34,145,624,412,1299,84,29,0.251,0.307,0.393,0.7
Atlanta Braves,5420,573,1361,251,18,100,548,471,1107,69,33,0.251,0.314,0.359,0.674
Washington Nationals,5428,703,1363,265,13,177,665,539,1344,57,23,0.251,0.321,0.403,0.724
New York Yankees,5567,764,1397,272,19,212,737,554,1227,63,25,0.251,0.323,0.421,0.744
Oakland Athletics,5600,694,1405,277,46,146,661,475,1119,78,29,0.251,0.312,0.395,0.707
Los Angeles Dodgers,5385,667,1346,263,26,187,638,563,1258,59,34,0.25,0.326,0.413,0.739
Baltimore Orioles,5485,713,1370,246,20,217,686,418,1331,44,25,0.25,0.307,0.421,0.728
Houston Astros,5459,729,1363,278,26,230,691,486,1392,121,48,0.25,0.315,0.437,0.752
Chicago White Sox,5533,622,1381,260,27,136,595,404,1231,68,42,0.25,0.306,0.38,0.686
Seattle Mariners,5544,656,1379,262,22,198,624,478,1336,69,45,0.249,0.311,0.411,0.722
Philadelphia Phillies,5529,626,1374,272,37,130,586,387,1274,88,32,0.249,0.303,0.382,0.684
Cincinnati Reds,5571,641,1382,257,27,167,613,496,1255,134,38,0.248,0.312,0.394,0.706
Minnesota Twins,5467,696,1349,277,44,156,661,439,1264,70,38,0.247,0.305,0.399,0.704
Los Angeles Angels,5417,661,1331,243,21,176,621,435,1150,52,34,0.246,0.307,0.396,0.702
New York Mets,5527,683,1351,295,17,177,654,488,1290,51,25,0.244,0.312,0.4,0.712
Chicago Cubs,5491,689,1341,272,30,171,657,567,1518,95,37,0.244,0.321,0.398,0.719
San Diego Padres,5457,650,1324,260,36,148,623,426,1327,82,29,0.243,0.3,0.385,0.685
